100 0.9785010000000001
5 17 1
24 4 26
1 43 45
1 43 45
73 29 4
68 3 45
7 43 55
6 7 55
81 12 13
11 4 1
81 5 1
28 7 32
5 36 45
5 33 1
48 43 10
7 36 2
4 45 4
1 43 45
12 17 45
4 29 55
6 14 1
8 20 45
12 50 30
18 57 4
76 1 4
43 57 48
38 57 48
12 43 55
1 1 5
11 4 6
1 7 42
81 5 36
19 17 45
11 2 55
81 2 45
32 57 32
6 44 41
14 35 1
7 19 5
5 10 2
1 50 5
76 1 26
8 29 2
1 14 8
81 45 6
2 10 3
81 45 6
1 19 45
7 22 5
81 5 8
8 6 5
3 14 50
13 57 41
14 19 6
81 28 7
4 35 1
1 7 13
19 8 1
76 15 4
7 43 45
49 50 32
27 43 10
1 35 1
12 50 5
1 6 40
37 17 45
11 1 55
1 7 55
3 14 50
19 7 1
6 14 5
3 50 5
11 4 48
76 16 1
1 1 12
75 43 2
1 17 40
6 13 41
1 1 23
21 7 32
12 50 9
7 36 4
7 50 30
1 57 4
8 50 4
7 36 2
3 10 3
4 5 4
76 16 14
52 4 26
5 40 5
6 14 7
7 6 5
76 5 26
76 6 26
75 43 43
8 23 5
81 45 1
73 29 3
3 50 5
