100 946776
7 48 12
40 7 20
7 3 63
59 1 79
30 30 20
18 22 37
20 22 37
9 10 42
1 24 23
31 24 23
34 14 34
36 11 20
34 14 11
15 29 20
7 19 100
59 5 50
12 29 22
20 22 37
22 29 11
49 12 25
46 13 18
39 12 36
8 35 20
22 29 15
37 13 24
29 25 20
7 28 37
30 27 22
9 43 42
28 29 15
59 5 29
28 10 37
31 13 37
10 12 35
39 12 6
4 40 20
34 14 33
3 24 42
15 27 27
8 24 23
22 29 4
34 14 33
12 29 31
15 31 20
34 31 6
13 27 27
22 29 22
16 12 32
7 1 37
21 36 18
44 12 32
21 6 37
47 13 20
31 10 37
11 25 20
28 2 27
27 12 20
40 16 20
20 12 42
23 12 35
34 14 13
9 35 20
1 12 32
8 29 26
22 29 27
22 13 24
23 12 25
6 13 37
21 17 37
34 31 17
38 2 37
7 52 37
27 12 55
7 13 37
26 35 20
6 53 20
40 24 19
36 10 20
7 24 42
33 12 35
11 40 20
59 4 42
21 29 20
19 31 20
66 12 8
7 30 63
1 35 20
26 11 26
26 18 26
4 27 22
7 48 51
5 12 32
6 30 20
21 12 25
13 13 55
32 13 37
9 35 20
18 22 37
8 13 37
34 18 22
